	team_name	player_name	title	description	content
0	new_england_patriots	 Brandon Bolden	Mohamed Sanu, Phillip Dorsett both inactive for Sunday’s Patriots-Cowboys game	The absence of the two receivers leaves Tom Brady and Co. with two rookies, Julian Edelman, and a special teams ace at receiver.	"Receivers Mohamed Sanu and Phillip Dorsett were both listed among the inactives for the Patriots game Sunday vs. the Dallas Cowboys at Gillette Stadium.
Sanu (ankle) and Dorsett (concussion) were both listed as questionable on the final injury report of the … [+474 chars]"
1	new_england_patriots	 Brandon Bolden	What goes in to blocking a punt?	There have been eight blocked punts in the NFL this season. The Patriots have three of them.	There have been eight blocked punts in the NFL this season. The Patriots have three of them. Each netted New England 7 points; two were returned for touchdowns and one, last Sunday against Dallas, gave Tom Brady and the offense a short field they needed only … [+5162 chars]
2	new_england_patriots	 Brandon Bolden	Week 12: AFC Targets & Touches	Jesse Pantuosco dissects the latest AFC volume trends in Week 12 Targets and Touches. (AP)	Fantasy football is, at its core, an exercise in risk analysis. Points are our currency and every article we digest, every podcast we engorge ourselves in, every box score we study is aimed at shining a light on safe, bankable volume we can rely on. Thats the… [+37280 chars]
3	new_england_patriots	 Brandon Bolden	Patriots Mailbag: Why Isaiah Wynn has the ability to be a game-changer vs. Cowboys	Phil Perry's Patriots Mailbag is in. And this week, the focus is on the impact Isaiah Wynn could have for the Patriots in their upcoming game against the Cowboys.	Theis week's Patriots Mailbag is in, friends. Every week I'll be answering your questions be they Patriots-related, about the league at large or otherwise. This week, the focus for many of you was -- no surprise -- how the offense can improve. We'll start the… [+13856 chars]
4	new_england_patriots	 Brandon Bolden	Defined by complementary play, Patriots look ahead to Texans	New England's personnel isn't dominant, but the team's 10-1 record is because it's winning with stellar play in often overlooked facets of the game.	FOXBOROUGH, Mass. -- The New England Patriots are coming off a victory that highlighted a key tenet of Bill Belichick's program -- exemplary complementary football -- and now prepare to face a Bill O'Brien-led Houston Texans team that has a similar philosophy… [+3974 chars]
5	new_england_patriots	 Brandon Bolden	Patriots Report Card: Tom Brady, offense make strides as defense dominates again	The Pats' run game showed signs of life, while Stephon Gilmore played the best game of any Patriot this season.	"In a season full of throwback Patriots games, Sunday’s win over the Cowboys felt as close to an early 2000s triumph as any. 
The defense closing out an offensive-minded opponent under poor weather conditions. 
Tom Brady carrying the so-so skill-position tal… [+10386 chars]"
6	new_england_patriots	 Brandon Bolden	Sports Betting is Now Legal in 13 States; Here is What You Need to Know to Win	With new states legalizing sports betting, many players are placing wagers for the first time. While exciting, there is a good amount you should learn before diving in. Betting is something that sh…	"With new states legalizing sports betting, many players are placing wagers for the first time. While exciting, there is a good amount you should learn before diving in.
Betting is something that should be done in moderation. Dont get too carried away on any … [+4455 chars]"
7	new_england_patriots	 Jarrett Stidham	How much every NFL QB is worth against the spread	Aaron Rodgers is the most valuable quarterback in the NFL against the spread, per Vegas oddsmakers. Here is how all 32 QBs stack up.	"There is a certain mystery about how bookmakers set lines for NFL games that varies from sportsbook to sportsbook. There is no position more important to a line than a team's starting quarterback.
For oddsmakers, it is a constant challenge to keep track of i… [+6607 chars]"
8	new_england_patriots	 Jarrett Stidham	Report: Patriots' Tom Brady to Play vs. Cowboys Despite Elbow Injury	New England Patriots  quarterback  Tom Brady  reportedly will play on Sunday vs. the  Dallas Cowboys  despite being questionable with an elbow injury, according to  Ian Rapoport  of  NFL ...	"Mitchell Leff/Getty Images
New England Patriots quarterback Tom Brady reportedly will play on Sunday vs. the Dallas Cowboys despite being questionable with an elbow injury, according to Ian Rapoport of NFL.com.  
Brady, 42, has completed 63.7 percent of his… [+1512 chars]"
9	new_england_patriots	 Jarrett Stidham	Source: Pat's Folk sidelined by appendectomy	Patriots kicker Nick Folk won't play Sunday against the Texans after he had an appendectomy according to a league source.	"FOXBOROUGH, Mass. -- The New England Patriots will be without veteran kicker Nick Folk for Sunday night's road game against the Houston Texans due to an appendectomy, a league source confirmed.
CLSN Media first reported Folk's status, which isn't expected to… [+1058 chars]"
10	new_england_patriots	 Jarrett Stidham	It’s a different emotion from Tom Brady this week: he’s perplexed	Brady, happy the Patriots won, could not understand why the officials stopped the clock with his final pass still in the air.	FOXBOROUGH Tom Brady was standing inside the thick white stripe that borders the field late in Sunday afternoons game against the Cowboys, near the home teams 27-yard line, playing catch with backup Jarrett Stidham, who stood about 10 yards downfield. Like th… [+5900 chars]
11	new_england_patriots	 Jarrett Stidham	Gus Malzahn can do something in the Iron Bowl only one head coach has done before	Nick Saban is 156-22 as the head coach at Alabama. Only one head coach has beaten him three times. Auburn's Gus Malzahn can become the second.	"The Tigers host the Crimson Tide at Jordan-Hare Stadium on Saturday at 2:30 p.m. CT.
 Video courtesy Auburn Athletics
AUBURN — Gus Malzahn can do something in Saturday’s Iron Bowl that only one head coach has done before.
Nick Saban has been the head coach… [+8002 chars]"
12	new_england_patriots	 Jermaine Eluemunor	Tom Brady’s elbow injury limits him in Thursday’s practice	Patriots quarterback Tom Brady has downplayed his right elbow injury. No one -- not the Texans, his teammates, his coaches or himself -- expect Brady to miss Sunday night's game. But Brady was limited in Thursday's practice after going through a full practice…	"Patriots quarterback Tom Brady has downplayed his right elbow injury. No one not the Texans, his teammates, his coaches or himself expect Brady to miss Sunday nights game.
But Brady was limited in Thursdays practice after going through a full practice Wednes… [+561 chars]"
13	new_england_patriots	 Jermaine Eluemunor	Patriots list 17 players as questionable for Sunday night	Patriots head coach Bill Belichick said that the team would have had a hard time playing a game on Thanksgiving because of the illness that has spread throughout the team and that's reflected on the injury report they handed in on Friday. Tight end Ryan Izzo …	"Patriots head coach Bill Belichick said that the team would have had a hard time playing a game on Thanksgiving because of the illness that has spread throughout the team and thats reflected on the injury report they handed in on Friday.
Tight end Ryan Izzo … [+857 chars]"
14	new_england_patriots	 Jermaine Eluemunor	New England Patriots sacked by a bug with 'flu-like symptoms'	The New England Patriots are gearing up for a big showdown against the Houston Texans on Sunday, but they may be down a few key players.	"(CNN)The New England Patriots are gearing up for a big showdown against the Houston Texans on Sunday, but they may be down a few key players thanks to \what appears to be a flu bug that has struck the team.
Cornerbacks Stephon Gilmore and Joejuan Williams, s… [+852 chars]"
15	new_england_patriots	 Jermaine Eluemunor	Stephon Gilmore among several key Patriots absent from practice Wednesday	The Pats were down four defensive starters during their first practice for Sunday's game at Houston.	"FOXBORO — Patriots cornerback Stephon Gilmore was among several key players missing from practice Wednesday. 
Defensively, Gilmore, linebackers Dont’a Hightower and Jamie Collins, safety Patrick Chung and cornerback Joejuan Williams were all absent. On offen… [+576 chars]"
16	new_england_patriots	 Jermaine Eluemunor	Dont’a Hightower, Isaiah Wynn miss Patriots practice again, four others return	Five Pats were out, including four who missed Wednesday's practice with the flu.	"The Patriots can be thankful for this much. 
Half of the players who missed Wednesday’s practice due to illness were back on the field Thursday. 
Cornerback Stephon Gilmore, linebacker Jamie Collins and safety Patrick Chung were all limited during the Pats’… [+735 chars]"
